timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1629132846332,28,viewMyLeaveList-39,304,Not Modified,Thread Group 1-2,,true,,205,802,99,99,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/orangehrmBuzzPlugin/css/photoTiling.css,0,0,0
1629132846361,7688,viewMyLeaveList-40,304,Not Modified,Thread Group 1-2,,true,,206,807,99,99,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/orangehrmBuzzPlugin/css/messageBoxStyles.css,0,0,0
1629132853543,1,viewMyLeaveList-41,304,Not Modified,Thread Group 1-2,,true,,204,807,99,99,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/orangehrmHelpPlugin/css/viewHelpComponent.css,0,0,0
1629132853544,2,viewMyLeaveList-42,304,Not Modified,Thread Group 1-2,,true,,205,805,99,99,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/orangehrmBeaconPlugin/css/_beaconAbout.css,0,0,0
1629132853546,1,viewMyLeaveList-43,304,Not Modified,Thread Group 1-2,,true,,205,808,99,99,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/orangehrmCorePlugin/css/mainMenuComponent.css,0,0,0
1629132853547,1,viewMyLeaveList-44,304,Not Modified,Thread Group 1-2,,true,,206,794,99,99,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/themes/default/images/logo.png,0,0,0
1629132853548,2,viewMyLeaveList-45,304,Not Modified,Thread Group 1-2,,true,,207,801,99,99,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/orangehrmBuzzPlugin/images/close.png,0,0,0
1629132853550,2,viewMyLeaveList-46,304,Not Modified,Thread Group 1-2,,true,,205,799,99,99,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/orangehrmBuzzPlugin/images/vload.gif,0,0,0
1629132853552,1,viewMyLeaveList-47,200,OK,Thread Group 1-2,bin,true,,827,715,99,99,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/themes/default/images/callout-left.png,1,0,0
1629132853553,2,viewMyLeaveList-48,200,OK,Thread Group 1-2,text,true,,1640,712,99,99,http://localhost/orangehrm/symfony/web/webres_5f465b030eb735.13202106/orangehrmCorePlugin/js/_ohrmList.js,2,0,0
