Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"uncheck(findTestObject(""Object Repository/Apply Leave/Page_OrangeHRM/input_All_leaveList_chkSearchFilter_checkbo_a698f3""))",Chrome 92.0.4515.159,,,2021-08-19 21:32:57,2021-08-19 21:32:57,0.410s,PASSED
"check(findTestObject(""Object Repository/Apply Leave/Page_OrangeHRM/input_Pending Approval_leaveListchkSearchFilter""))",Chrome 92.0.4515.159,,,2021-08-19 21:32:57,2021-08-19 21:32:58,0.364s,PASSED
"click(findTestObject(""Object Repository/Apply Leave/Page_OrangeHRM/input_Taken_btnSearch""))",Chrome 92.0.4515.159,,,2021-08-19 21:32:58,2021-08-19 21:32:59,0.824s,PASSED
"scrollToElement(findTestObject(""Apply Leave/Page_OrangeHRM/th_Date""), 0)",Chrome 92.0.4515.159,,,2021-08-19 21:32:59,2021-08-19 21:33:00,0.946s,PASSED
takeScreenshot(),Chrome 92.0.4515.159,,,2021-08-19 21:33:00,2021-08-19 21:33:00,0.385s,PASSED
"if (days.equals(""""))",Chrome 92.0.4515.159,,,2021-08-19 21:33:00,2021-08-19 21:33:00,0.000s,PASSED
else,Chrome 92.0.4515.159,,,2021-08-19 21:33:00,2021-08-19 21:33:02,2.007s,PASSED
,,,,,,,
Test Cases/Apply Leave,Chrome 92.0.4515.159,,,2021-08-19 21:33:04,2021-08-19 21:33:26,21.920s,PASSED
"com.database.mysql.connectDB(""localhost"", ""orangehrm_mysql"", ""3306"", ""root"", null)",Chrome 92.0.4515.159,,,2021-08-19 21:33:04,2021-08-19 21:33:04,0.004s,PASSED
"com.database.mysql.execute(""DELETE FROM `ohrm_leave_request` WHERE `emp_number`=3 AND `date_applied`='2021-09-02' AND `leave_type_id` = 3"")",Chrome 92.0.4515.159,,,2021-08-19 21:33:04,2021-08-19 21:33:04,0.004s,PASSED
"com.database.mysql.execute(""DELETE FROM `ohrm_leave` WHERE `emp_number` = 3 AND `leave_type_id`=3 and (`date`='2021-09-02' or `date`='2021-09-03') "")",Chrome 92.0.4515.159,,,2021-08-19 21:33:04,2021-08-19 21:33:04,0.000s,PASSED
com.database.mysql.closeDatabaseConnection(),Chrome 92.0.4515.159,,,2021-08-19 21:33:04,2021-08-19 21:33:04,0.004s,PASSED
"navigateToUrl(""http://localhost/orangehrm/symfony/web/index.php/dashboard"")",Chrome 92.0.4515.159,,,2021-08-19 21:33:04,2021-08-19 21:33:04,0.416s,PASSED
"click(findTestObject(""Object Repository/Apply Leave/Page_OrangeHRM/img""))",Chrome 92.0.4515.159,,,2021-08-19 21:33:04,2021-08-19 21:33:05,0.936s,PASSED
